drugName	cui	tty
Nocceler Tet-G	drugBank00822	Brand_Names
Banophen Caplets	drugBank01075	Brand_Names
Dynabiotic	drugBank00355	Brand_Names
aldurazyme	drugBank00090	RxList_Link
Cytarabina	drugBank00987	Synonyms
Zolidinum	drugBank00812	Brand_Names
Macrobid	drugBank00698	Brand_Names
Ziba-rx	drugBank00626	Brand_Names
Citarabina [INN-Spanish]	drugBank00987	Synonyms
Femtran	drugBank00783	Brand_Names
Filaminast	drugBank02660	Generic_Name
Ifenec	drugBank01127	Brand_Names
Solfametizolo [Dcit]	drugBank00576	Brand_Names
Octrotide	drugBank00104	Synonyms
Tertensif	drugBank00808	Brand_Names
Mytozytrex	drugBank00305	Brand_Names
Ansietan	drugBank00371	Brand_Names
Atropine Sulfate S.O.P.	drugBank00572	Brand_Names
Almatol	drugBank00421	Brand_Names
6-Hydroxypropylthymine	drugBank04139	Generic_Name
Angiox	drugBank00006	Brand_Names
Chantix	drugBank01273	Brand_Names
Cinnaloid	drugBank01180	Brand_Names
Recanescine	drugBank01089	Brand_Names
Epiteliol	drugBank00162	Brand_Names
Nebramycin Factir 6	drugBank00684	Brand_Names
Adagen	drugBank00061	Brand_Names
Nisotin	drugBank00609	Brand_Names
Trinitroglycerin	drugBank00727	Synonyms
tinidazole	drugBank00911	Synonyms
(2s)-Hydroxy(4-Hydroxyphenyl)Ethanenitrile	drugBank03430	Generic_Name
Cefalothin	drugBank00456	Synonyms
Hydrap-ES	drugBank00206	Brand_Names
Duponol ME	drugBank00815	Brand_Names
Tetramisole	drugBank00848	Brand_Names
Carbastat	drugBank00411	Brand_Names
Perlandrol L	drugBank00815	Brand_Names
Biston	drugBank00564	Brand_Names
Ionil	drugBank00936	Brand_Names
Flurbiprofene [INN-French]	drugBank00712	Synonyms
Luteinique	drugBank00396	Brand_Names
Food Preservatives	drugBank03793	Drug_Category
Prefamone	drugBank00937	Brand_Names
6-Hydro-1-Methyladenosine-5'-Monophosphate	drugBank03318	Generic_Name
L-alpha-Glycerophosphocholine	drugBank04660	Synonyms
Desferin	drugBank00746	Brand_Names
6-Mercaptoguanine	drugBank00352	Synonyms
Sitagliptan	drugBank01261	Synonyms
Meprotanum	drugBank00371	Brand_Names
Sandoz ondansetron	drugBank00904	Brand_Names
Vasofilina	drugBank01223	Brand_Names
Decacide	drugBank00711	Brand_Names
Sigapurol	drugBank00437	Brand_Names
(8,12-Diethyl-3,8,13,17-Tetramethyl-7-Oxo-Porphyrinato-2,18-Dipropionic Acid)Iron(III)	drugBank04384	Synonyms
Metrodiol	drugBank00823	Brand_Names
Arasemide	drugBank00695	Brand_Names
Myostibin	drugBank05630	Brand_Names
(S)-(+)-Leucine	drugBank00149	Synonyms
Acepramin	drugBank00513	Brand_Names
Kessobamate	drugBank00371	Brand_Names
Kerlone	drugBank00195	Brand_Names
Ascorbicin	drugBank00126	Brand_Names
Regitine	drugBank00692	Brand_Names
Parcidol	drugBank00392	Brand_Names
Delorazepam	drugBank01511	Generic_Name
Atromida	drugBank00636	Brand_Names
Chlorzoxazon	drugBank00356	Synonyms
Dobutamine	drugBank00841	Generic_Name
Pentoxifylline	drugBank00806	Generic_Name
4-iodo-acetamido phenylboronic acid	drugBank02122	Generic_Name
Biocanol	drugBank00196	Brand_Names
Minaprine Dihydrochloride	drugBank00805	Synonyms
Floudroxycortide	drugBank00846	Synonyms
Tecnolip	drugBank00227	Brand_Names
Metacycline	drugBank00931	Synonyms
Bisoprolol Hemifumarate	drugBank00612	Synonyms
Hydro-D	drugBank00880	Brand_Names
Penicillin-Vk	drugBank00417	Brand_Names
Furacin-E	drugBank00336	Brand_Names
Phosphoribosylpyrophosphate	drugBank01632	Brand_Names
Volidan	drugBank00351	Brand_Names
Tioconazole	drugBank01007	Generic_Name
Orocin	drugBank01165	Brand_Names
Norethisterone [Progestins]	drugBank00717	Brand_Names
Tobramycin Sulfate	drugBank00684	Synonyms
1,1,1-Trifluoro-3-(2-thenoyl)acetone	drugBank04795	Synonyms
(11-BETA)-11,21-DIHYDROXY-PREGN-4-ENE-3,20-DIONE	drugBank04652	Generic_Name
Slo-Phyllin	drugBank00277	Brand_Names
Nerobil	drugBank00984	Brand_Names
Loracarbefum [INN-Latin]	drugBank00447	Synonyms
Dexal	drugBank01009	Brand_Names
Enalaprilum [INN-Latin]	drugBank00584	Synonyms
Ophtochlor	drugBank00446	Brand_Names
Naotin	drugBank00627	Brand_Names
L-(-)-Serine	drugBank00133	Synonyms
Demeclocyclinum [INN-Latin]	drugBank00618	Brand_Names
Zebeta	drugBank00612	Brand_Names
Crystal Violet Extra Pure APN	drugBank00406	Brand_Names
Moracizinum [INN-Latin]	drugBank00680	Synonyms
Erythroguent	drugBank00199	Brand_Names
Nilutamide	drugBank00665	Generic_Name
N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE	drugBank04762	Generic_Name
Anakinra	drugBank00026	Generic_Name
N-Alpha-Acetyl-3,5-Diiodotyrosylglycine	drugBank02598	Generic_Name
Ery-Sol	drugBank00199	Brand_Names
Rebetol	drugBank00811	Brand_Names
Oldamin	drugBank06689	Brand_Names
4-Diphosphocytidyl-2-C-Methyl-D-Erythritol	drugBank03687	Generic_Name
2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One	drugBank02391	Generic_Name
m-Methoxy-a-methylphenethylamine	drugBank00182	Synonyms
Apo-Diltiaz	drugBank00343	Brand_Names
Snaplets-FR	drugBank00316	Brand_Names
2,2'-O-Cyclouridine	drugBank04627	Synonyms
Histodenz	drugBank01362	Brand_Names
Amyl nitrite I	drugBank01612	Synonyms
(2r)-N-[4-Cyano-3-(Trifluoromethyl)Phenyl]-3-[(4-Fluorophenyl)Sulfonyl]-2-Hydroxy-2-Methylpropanamide	drugBank02932	Generic_Name
Antihyperlipidemics	drugBank00509	Drug_Category
Malphos	drugBank00772	Brand_Names
3-Methyl-5-Sulfo-Pyrrolidine-2-Carboxylic Acid	drugBank02248	Generic_Name
Cocculin	drugBank00466	Brand_Names
Vanzoate	drugBank00676	Brand_Names
Caliment	drugBank00554	Brand_Names
Medidur	drugBank00591	Brand_Names
Hexermine	drugBank00165	Brand_Names
Dociton	drugBank00571	Brand_Names
Timolol maleate	drugBank00373	Synonyms
Di-Adreson F	drugBank00860	Brand_Names
Prednisolone Tebutate	drugBank00860	Synonyms
P1-7-METHYLGUANOSINE-P3-ADENOSINE-5',5'-TRIPHOSPHATE	drugBank01649	Brand_Names
Calmylin Expectorant	drugBank00874	Brand_Names
Aropax	drugBank00715	Brand_Names
Milnacipran	drugBank04896	Generic_Name
Tiofacic	drugBank01423	Brand_Names
Apo-Primidone	drugBank00794	Brand_Names
Aftate for athlete's foot sprinkle powder	drugBank00525	Brand_Names
Tiabendazol	drugBank00730	Synonyms
Benzatropine mesilate	drugBank00245	Synonyms
MAOA	drugBank04833	Synonyms
Apo-Allopurinol	drugBank00437	Brand_Names
5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID	drugBank04650	Generic_Name
Grysio	drugBank00400	Brand_Names
Testostosterone	drugBank00624	Synonyms
Ethambutol dihydrochloride	drugBank00330	Synonyms
Stesolid	drugBank00829	Brand_Names
Norval	drugBank06148	Brand_Names
Neftin	drugBank00614	Brand_Names
Bentone 34	drugBank00516	Brand_Names
Attapulgite	drugBank01574	Generic_Name
Famotin	drugBank00927	Brand_Names
Calcium chloride dihydrate	drugBank01164	Synonyms
Hostaginan	drugBank04825	Brand_Names
1-(5'-Phospho-Beta-D-Ribofuranosyl)Barbituric Acid	drugBank03668	Generic_Name
Bonidon Gel	drugBank00328	Brand_Names
Ribose(Pyranose Form)	drugBank04286	Generic_Name
Phosphentaside	drugBank00131	Synonyms
Onclast	drugBank00630	Brand_Names
Adiro	drugBank00945	Brand_Names
Hydrocortisone Valerate	drugBank00741	Synonyms
7-Chloro-6-demethyltetracycline	drugBank00618	Brand_Names
rosiglitazone	drugBank00412	Synonyms
Histamine biphosphate	drugBank00667	Brand_Names
lofexidine	drugBank04948	Synonyms
Oxalatoplatin	drugBank00526	Synonyms
Denatured Alcohol Sd-28	drugBank00898	Brand_Names
oxymetazoline hydrochloride crystalline	drugBank00935	Synonyms
Ritodrinium [INN-Latin]	drugBank00867	Synonyms
NeoRecormon	drugBank00016	Brand_Names
L-Thryoxin	drugBank00451	Synonyms
Silubin	drugBank04830	Brand_Names
s
Endoxan R	drugBank00531	Brand_Names
Alkeran	drugBank01042	Brand_Names
oxytetracycline	drugBank00595	RxList_Link
cefamandole	drugBank01326	RxList_Link
Fasturtec	drugBank00049	Brand_Names
Methionamine	drugBank01646	Brand_Names
Cap-Profen	drugBank01050	Brand_Names
Kokayeen	drugBank00907	Synonyms
Lepirudin	drugBank00001	Generic_Name
raloxifene	drugBank00481	Synonyms
Triacetyloleandomycin	drugBank01361	Synonyms
Lisino	drugBank00455	Brand_Names
mefentanyl	drugBank01571	Synonyms
Phosphomethylphosphonic Acid Adenosyl Ester	drugBank03148	Generic_Name
Sodium dodecyl sulfate	drugBank00815	Synonyms
Cemagyl	drugBank00126	Brand_Names
1-Deoxy-1-Thio-Heptaethylene Glycol	drugBank02404	Generic_Name
1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine	drugBank01809	Generic_Name
Menolyn	drugBank00977	Brand_Names
Kaliglutol	drugBank00761	Brand_Names
Sedapran	drugBank01588	Brand_Names
Miracol	drugBank04967	Brand_Names
Isostat	drugBank00883	Brand_Names
Carbaxin	drugBank00371	Brand_Names
Lingel	drugBank00812	Brand_Names
Hydrocortisone Acetate	drugBank00741	Synonyms
Antibiotic 8327A	drugBank06149	Synonyms
Cupcakes	drugBank04829	Synonyms
Nicotinamide Mononucleotide	drugBank03227	Generic_Name
Daunorubicin Hcl	drugBank00694	Brand_Names
Tinactin aerosol powder	drugBank00525	Brand_Names
Cephradine	drugBank01333	Synonyms
Permiltin	drugBank00975	Brand_Names
Insulase	drugBank00672	Brand_Names
Drocort	drugBank00846	Brand_Names
Imatinib Mesylate	drugBank00619	Synonyms
Diamino-diphenyl sulphone	drugBank00250	Synonyms
Aluline	drugBank00437	Brand_Names
Estratriol	drugBank04573	Synonyms
Caffeine, Synthetic	drugBank00201	Synonyms
Enkelfel	drugBank00252	Brand_Names
Ostelin	drugBank00153	Brand_Names
Roceph	drugBank00567	Brand_Names
Kekrinal	drugBank00567	Brand_Names
6-Deoxyglucose	drugBank04319	Generic_Name
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol	drugBank03772	Generic_Name
Sedabamate	drugBank00371	Brand_Names
(P-Iodophenylacetylamino)Methylphosphinic Acid	drugBank04123	Generic_Name
synthetic human parathyroid hormone 1-34	drugBank06285	Synonyms
Doryx	drugBank00254	Brand_Names
Nifdemin	drugBank01115	Brand_Names
Epicar	drugBank01085	Brand_Names
Lacticare HC	drugBank00741	Brand_Names
Propylvaleric acid	drugBank00313	Synonyms
2-(3-{5-[AMINO(IMINIO)METHYL]-1H-BENZIMIDAZOL-2-YL}-5-BROMO-4-OXIDOPHENYL)SUCCINATE	drugBank02063	Synonyms
Hyphylline	drugBank00651	Brand_Names
Alemtuzumab	drugBank00087	Generic_Name
Parametadiona [INN-Spanish]	drugBank00617	Brand_Names
Mitostan	drugBank01008	Brand_Names
Ergotamin	drugBank00696	Brand_Names
Vagestrol	drugBank00255	Brand_Names
Lorsilan	drugBank00186	Brand_Names
Rutranex	drugBank00936	Brand_Names
Ethacrynic acid	drugBank00903	Generic_Name
(9S)-9-[(8-AMMONIOOCTYL)AMINO]-1,2,3,4,9,10-HEXAHYDROACRIDINIUM	drugBank04617	Generic_Name
L-thymidine	drugBank01265	Synonyms
Vancocin	drugBank00512	Brand_Names
Parsotil	drugBank00392	Brand_Names
Sinoratox	drugBank01174	Brand_Names
Aminopropylaminoethyl Thiophosphate	drugBank01143	Synonyms
Sulfstat	drugBank00576	Brand_Names
Roletra	drugBank00455	Brand_Names
Uretan etylowy [polish]	drugBank04827	Synonyms
Ranitidin	drugBank00863	Brand_Names
Topical anti-inflammatory Agent	drugBank00253	Drug_Category
Dihydroxyoestrin	drugBank00783	Synonyms
3,6-Anhydro-D-Galactose-2-Sulfate	drugBank01981	Generic_Name
Miracil D	drugBank04967	Brand_Names
Eneril	drugBank00316	Brand_Names
Lepsin	drugBank00252	Brand_Names
Coa-S-Acetyl Tryptamine	drugBank02931	Generic_Name
ketotifen	drugBank00920	RxList_Link
Sustaire	drugBank00277	Brand_Names
Chlorprotixene	drugBank01239	Synonyms
Oxazipam	drugBank00842	Synonyms
3,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-1-benzopyran-4-one	drugBank02375	Synonyms
Acipen V	drugBank00417	Brand_Names
Zomepirac sodium	drugBank04828	Synonyms
Zileuton	drugBank00744	Generic_Name
Butacote	drugBank00812	Brand_Names
Biomycin hydrochloride	drugBank00256	Brand_Names
2-(Oxalyl-Amino)-Benzoic Acid	drugBank02622	Generic_Name
Capranol	drugBank00513	Brand_Names
Erythro	drugBank00199	Brand_Names
Tenuate Dospan	drugBank00937	Brand_Names
Mycelex-7	drugBank00257	Brand_Names
Normalax	drugBank04823	Brand_Names
Fludrossicortide [DCIT]	drugBank00846	Synonyms
Oxyethylidenediphosphonic acid	drugBank01077	Synonyms
Glibenclamid Fabra	drugBank01016	Brand_Names
Trexall	drugBank00563	Brand_Names
Furazyme	drugBank00336	Brand_Names
Nidrazid	drugBank00951	Brand_Names
Metaphylline	drugBank01223	Brand_Names
Daunorubicin Hydrochloride	drugBank00694	Brand_Names
Calcium chloride, dihydrate	drugBank01164	Synonyms
Ranitic	drugBank00863	Brand_Names
Androxal	drugBank00882	Brand_Names
PED-diol	drugBank04535	Synonyms
Deoxythymidine 5'-monophosphate	drugBank01643	Synonyms
Microlution	drugBank00367	Brand_Names
Methaqualon	drugBank04833	Brand_Names
Blopress	drugBank00796	Brand_Names
Pekuces	drugBank00502	Brand_Names
Cupripen	drugBank00859	Brand_Names
Calcitonin, salmon	drugBank00017	Synonyms
3-alpha,7-beta-Dihydroxy-5-beta-cholanoic acid	drugBank01586	Synonyms
Imiglucerase	drugBank00053	Generic_Name
UDP-galactopyranose	drugBank03501	Synonyms
Kemstro	drugBank00181	Brand_Names
Carbadox	drugBank01014	Brand_Names
Chlorophenylpyridamin	drugBank01114	Synonyms
Oxiconazole	drugBank00239	Generic_Name
(+)-(s)-n-alpha-dimethylphenethylamine	drugBank01577	Synonyms
Nurofen	drugBank01050	Brand_Names
Diabis	drugBank00914	Brand_Names
Becenun	drugBank00262	Brand_Names
Choriogonadotropin alfa	drugBank00097	Generic_Name
4-IODOPHENYLALANINE	drugBank04713	Generic_Name
VAC-10	drugBank00812	Brand_Names
1-(S-Glutathionyl)-2,4-Dinitrobenzene	drugBank04412	Generic_Name
Fluocinolone Acetonide	drugBank00591	Generic_Name
Thiomid	drugBank00609	Brand_Names
Bo-Xan	drugBank00137	Brand_Names
Minocyn	drugBank01017	Brand_Names
Arsenous Acid	drugBank01169	Synonyms
Indinavir sulfate	drugBank00224	Synonyms
Sumatriptan Succinate	drugBank00669	Synonyms
Beta-Methyl-D-Galactoside	drugBank03324	Generic_Name
Hemofil M	drugBank00025	Brand_Names
Purgophen	drugBank04824	Brand_Names
Monis	drugBank01020	Brand_Names
Co-Gesic	drugBank00316	Brand_Names
Osprenololo [dcit]	drugBank01580	Synonyms
Promp	drugBank00448	Brand_Names
Ferotine	drugBank00927	Brand_Names
Metrolotion	drugBank00916	Brand_Names
Rifabutina [Spanish]	drugBank00615	Synonyms
Desametasone	drugBank01234	Synonyms
Renosulfan	drugBank00263	Brand_Names
Actiline	drugBank00452	Brand_Names
beta,epsilon-Carotene-3,3'-diol	drugBank00137	Synonyms
Aldactone A	drugBank00421	Brand_Names
N-Methyloxazepam	drugBank00231	Synonyms
Phenindiamine	drugBank01619	Synonyms
Sulfafurazol	drugBank00263	Synonyms
lucanthone	drugBank04967	Synonyms
Metamfetaminum [inn-latin]	drugBank01577	Synonyms
Apropovir	drugBank00300	Brand_Names
Hycort	drugBank00741	Brand_Names
8-Amino-1,2,3,4-tetrahydro-2-methyl-4-phenylisochinolin	drugBank04821	Synonyms
Poncyl	drugBank00400	Brand_Names
Kalium-duriles	drugBank00761	Brand_Names
CRA_10972	drugBank02989	Generic_Name
Methyldopa	drugBank00968	Generic_Name
Antibiotics From Streptomyces Coeruleorubidus	drugBank00694	Brand_Names
Histamethizine	drugBank00737	Brand_Names
Honey Diazine	drugBank00359	Brand_Names
Antiangiogenesis Agents	drugBank00112	Drug_Category
Cyclic AMP	drugBank02527	Synonyms
Ecostatin Vaginal Ovules	drugBank01127	Brand_Names
Mozambin	drugBank04833	Brand_Names
1-(p,alpha-Diphenylbenzyl)imidazole	drugBank04794	Synonyms
Vasdilat	drugBank01020	Brand_Names
Methylbenzylpropynylamine hydrochloride	drugBank01626	Synonyms
Isopas	drugBank00339	Brand_Names
Hyadrine	drugBank01075	Brand_Names
Vivactil	drugBank00344	Brand_Names
(+/-)-N-Methyl-2-phenylsuccinimide	drugBank00832	Brand_Names
Betaxololum [INN-Latin]	drugBank00195	Synonyms
Uad lotion	drugBank04815	Brand_Names
Pravastatin	drugBank00175	Generic_Name
Prostacyclin	drugBank01240	Synonyms
Imacillin	drugBank01060	Brand_Names
Atropin-flexiolen	drugBank00572	Brand_Names
Adenosine-5'-(Dithio)Phosphate	drugBank03011	Generic_Name
Lehydan	drugBank00252	Brand_Names
Omperan	drugBank00391	Brand_Names
Testavol	drugBank00162	Brand_Names
1,4-Dithiothreitol	drugBank04447	Generic_Name
Infalyte	drugBank00761	Brand_Names
Sulfatrim	drugBank00440	Brand_Names
LA III	drugBank00829	Brand_Names
N,N-dimethylarginine	drugBank01686	Generic_Name
Neutrafillina	drugBank00651	Brand_Names
Fluvastatin	drugBank01095	Generic_Name
(3e)-6'-Bromo-2,3'-Biindole-2',3(1h,1'h)-Dione 3-Oxime	drugBank03444	Generic_Name
Tarivid	drugBank01165	Brand_Names
2-(2-Diethylaminoethoxy)ethyl 2-ethyl-2-phenylbutyrate	drugBank04822	Synonyms
Kalium Retard	drugBank00761	Brand_Names
Terdin	drugBank00342	Brand_Names
Frusemide	drugBank00695	Synonyms
Ranolazine	drugBank00243	Generic_Name
Trilax	drugBank04824	Brand_Names
Serensiloline	drugBank00189	Brand_Names
Spectinomycine [INN-French]	drugBank00919	Synonyms
3'-Thymidylic acid	drugBank01643	Synonyms
Emconcor	drugBank00612	Brand_Names
Erycen	drugBank00199	Brand_Names
Bupropion Hcl	drugBank01156	Synonyms
Phanantin	drugBank00252	Brand_Names
Ibiofural	drugBank00336	Brand_Names
2-Amino-3-(Cystein-S-Yl)-Isoxazolidin-5-Yl-Acetic Acid	drugBank04323	Generic_Name
4-Deoxy-4-Amino-Beta-D-Glucose	drugBank03291	Generic_Name
Nivaquine B	drugBank00608	Brand_Names
Almitrine	drugBank01430	Generic_Name
Peladow	drugBank01164	Brand_Names
fluran	drugBank00846	RxList_Link
Colbenemid	drugBank01032	Brand_Names
Ismicetina	drugBank00446	Brand_Names
Free Cysteine	drugBank04443	Generic_Name
Novomedopa	drugBank00968	Brand_Names
Emery 650	drugBank03017	Brand_Names
Metylfenemal	drugBank00849	Brand_Names
Sterling waq-CH	drugBank00815	Brand_Names
Sodium hydrogen divalproate	drugBank00313	Synonyms
Enduronum	drugBank00232	Brand_Names
1,3-Propanedioic acid	drugBank02175	Synonyms
Pentazocin	drugBank00652	Synonyms
Tenoxicamum [INN-Latin]	drugBank00469	Synonyms
ciprofloxacin	drugBank00537	Synonyms
Caffeine Pure	drugBank00201	Synonyms
Valaxona	drugBank00829	Brand_Names
Scobenol	drugBank00676	Brand_Names
Mitotanum [INN-Latin]	drugBank00648	Brand_Names
Mammalian LH-RH	drugBank00644	Brand_Names
Dipipanone	drugBank01491	Generic_Name
Cotogesic	drugBank00860	Brand_Names
Amycin	drugBank00759	Brand_Names
Ciflox	drugBank00537	Brand_Names
Perquietil	drugBank00371	Brand_Names
Hytone	drugBank00741	Brand_Names
1,3-Dihydro-7-nitro-5-phenyl-2H-1,4-benzodiazepin-2-one	drugBank01595	Synonyms
Nix Cream Rinse	drugBank04930	Brand_Names
Brevinor 21	drugBank00717	Brand_Names
Menagen	drugBank00655	Brand_Names
Aldoclor-250	drugBank00968	Brand_Names
Tevcodyne	drugBank00812	Brand_Names
Pasalon	drugBank00233	Brand_Names
Chlorphenterminum hydrochloride	drugBank01556	Synonyms
Elodrine	drugBank00695	Brand_Names
P-Sulfamidoaniline	drugBank00259	Synonyms
Piperazine Derivatives	drugBank01176	Drug_Category
Nefazodonum [Latin]	drugBank01149	Synonyms
clobazam	drugBank00349	Synonyms
Rimadyl	drugBank00821	Brand_Names
Mucostop	drugBank00874	Brand_Names
Valcyt	drugBank01610	Brand_Names
Atrovent Nasal	drugBank00332	Brand_Names
exemest	drugBank00990	RxList_Link
Trazodona [INN-Spanish]	drugBank00656	Synonyms
Protoporphyrin Ix Containing Zn	drugBank03934	Generic_Name
Cholly	drugBank00907	Synonyms
Fostril	drugBank00756	Brand_Names
Dipeptide sweetener	drugBank00168	Synonyms
NG,NG-dimethyl-l-arginine	drugBank01686	Synonyms
Etrafon-A	drugBank00850	Brand_Names
5alpha-Dihydrotestosterone	drugBank02901	Synonyms
2',3'-dehydro-2',3'-deoxy-thymidine 5'-monophosphate	drugBank04672	Synonyms
Phebuzine	drugBank00812	Brand_Names
Spirapril	drugBank01348	Generic_Name
Diadreson	drugBank00635	Brand_Names
Girl	drugBank00907	Synonyms
MPI DMSA Kidney Reagent	drugBank00566	Brand_Names
Mepenzolic acid	drugBank04843	Synonyms
Dihydroxyphenoloxindol	drugBank04823	Synonyms
Midol	drugBank01050	Brand_Names
Guiatuss	drugBank00874	Brand_Names
Synthetic LH-RF	drugBank00644	Brand_Names
Valoid	drugBank01176	Brand_Names
S-(N-Hydroxy-N-Bromophenylcarbamoyl)Glutathione	drugBank03889	Generic_Name
Elcoril	drugBank00291	Brand_Names
2H-1-BENZOPYRAN-2-ONE	drugBank04665	Generic_Name
5beta-Cholan-24-oic acid-3alpha,7beta-diol	drugBank01586	Synonyms
Sphingosine	drugBank03203	Generic_Name
Reclomide	drugBank01233	Brand_Names
Metyna	drugBank00849	Brand_Names
Novesine	drugBank00892	Brand_Names
Vasopressin, non-mammalian	drugBank00067	Synonyms
Carbanilic acid, N,M-dimethylthio-, O-2-naphthyl ester	drugBank00525	Brand_Names
Betazol [INN-Spanish]	drugBank00272	Synonyms
Imizinum	drugBank00458	Brand_Names
Ocu-Tropine	drugBank00572	Brand_Names
Toradol	drugBank00465	Brand_Names
Calciferol	drugBank00153	Brand_Names
Aalindan	drugBank00431	Brand_Names
Milliderm	drugBank00741	Brand_Names
Lipid Fragment	drugBank01913	Generic_Name
Ceftriazone	drugBank01212	Synonyms
Clofedanol	drugBank04837	Synonyms
Dulcontin	drugBank00295	Brand_Names
3,16-alpha,17-beta-Trihydroxyestra-1,3,5(10)-triene	drugBank04573	Synonyms
Dimethone	drugBank04817	Brand_Names
Misulban	drugBank01008	Brand_Names
