termName	cui	tty
Drug-induced purpura	C1264038	disorder
Monoclonal gammopathy	C1136085	disorder
Multiple myeloma	C0026764	disorder
Polycythemia vera	C0032463	disorder
Essential thrombocythemia	C0040028	disorder
Myelodysplastic syndrome	C0026986	disorder
Acute myelomonocytic leukemia, FAB M4	C0023479	disorder
Injury of penis	C0347656	disorder
Concussion injury of brain	C0006107	disorder
Postoperative hemorrhage	C0032788	disorder
Late effects of poliomyelitis	C0362050	disorder
Pre-surgery evaluation	C1293091	procedure
Tobacco user	C1112669	finding
Cervical radiculitis	C0263884	disorder
Disease related peripheral neuropathy	C0270864	disorder
Sinus tachycardia	C0039239	finding
Irritant contact dermatitis	C0162823	disorder
Percutaneous transluminal coronary angioplasty	C0002997	procedure
Dermatitis herpetiformis	C0011608	disorder
Derangement of medial meniscus	C0343140	disorder
Derangement of meniscus of knee joint	C0559036	disorder
Ankylosis of joint	C0003090	disorder
Compartment syndrome	C0009492	disorder
Avascular necrosis of the capital femoral epiphysis	C1442965	disorder
Acquired scoliosis	C0700208	disorder
Tricuspid valve regurgitation	C0040961	disorder
Venous thrombosis	C0042487	disorder
Exostosis of jaw	C0155955	disorder
Diverticulitis of colon	C0012814	disorder
Pseudocyst of pancreas	C0030299	disorder
Ureteritis	C0041959	disorder
Hemolytic uremic syndrome	C0019061	disorder
Postoperative urethral stricture	C0156284	disorder
Organic mental disorder	C0029227	disorder
Undifferentiated schizophrenia	C0392322	disorder
Mixed bipolar I disorder in full remission	C0236786	disorder
Breathing-related sleep disorder	C0236845	disorder
Syringomyelia	C0039144	disorder
Pseudoexfoliation glaucoma	C0206368	disorder
Benign paroxysmal positional vertigo	C0155502	disorder
Ovarian failure	C0747102	disorder
Testicular hypofunction	C0271622	disorder
Adrenal hypofunction	C0001623	disorder
Acquired hypothyroidism	C0700502	disorder
Leukocytosis	C0023518	disorder
Hypertrophy of adenoids	C0149825	disorder
Closed fracture of radius	C0272622	disorder
Sprain of sacroiliac region	C1264284	disorder
Mechanical complication of internal orthopedic device	C0274348	disorder
Poisoning by aromatic analgesic	C0344125	disorder
Staphylococcal septicemia	C0152965	disorder
Viral gastroenteritis	C0318712	disorder
Dysentery	C0013369	disorder
Prolonged QT interval	C0151878	finding
Chronic abdominal pain	C0232491	finding
Absent renal function	C0232808	disorder
Localized pain	C0520962	finding
Fuchs' heterochromic cyclitis	C0016782	disorder
Irradiation cystitis	C0156270	disorder
Closure of atrial septal defect	C0189965	procedure
Valvuloplasty of aortic valve	C0396949	procedure
Stenosis of trachea	C0040583	disorder
Kidney transplant evaluation	C0203851	procedure
Polyp of corpus uteri	C0156369	disorder
Relaxation of vaginal outlet AND/OR pelvis	C0269130	disorder
Acne	C0702166	disorder
Combined form of senile cataract	C0271168	disorder
Contusion of back	C0160927	disorder
Prostatism	C0242453	disorder
Developmental speech disorder	C0270330	disorder
Cesarean section	C0007876	procedure
Idiopathic granulomatous interstitial nephropathy	C0268781	disorder
Giant cell tumor	C0017525	morphologic abnormality
Quadriplegia	C0034372	disorder
Otosclerosis	C0029899	disorder
Occupational disorder	C0028797	disorder
Salpingo-oophorectomy	C0036132	procedure
Chorioamnionitis	C0008495	disorder
Abdominal hysterectomy	C0404077	procedure
Total abdominal hysterectomy	C0404079	procedure
Total abdominal hysterectomy with bilateral salpingo-oophorectomy	C0542407	procedure
Complication of procedure	C0742724	disorder
Pancreaticoduodenectomy	C0085162	procedure
Torus mandibularis	C0266980	disorder
Paralytic stroke	C1263853	disorder
Abdominal bloating	C1291077	finding
Achilles tendinitis	C0263933	disorder
Transfusion of blood product	C0455012	procedure
Gestational diabetes mellitus	C0085207	disorder
Infantile spastic cerebral palsy	C0023882	disorder
Necrotizing vasculitis	C1318520	disorder
Primary bacterial peritonitis	C0275551	disorder
Drainage of abscess	C0344096	procedure
Mitral valve disorder	C0026265	disorder
Hodgkin's disease	C0019829	disorder
Malignant lymphoma	C0024299	disorder
Non-Hodgkin's lymphoma	C0024305	disorder
Hodgkin's disease, nodular sclerosis	C0152268	disorder
Hairy cell leukemia	C0023443	disorder
Mycosis fungoides	C0026948	disorder
Procedure on endocrine system	C1292867	procedure
Procedure on heart	C1279986	procedure
Disorder of lower extremity	C1290876	disorder
Disorder of shoulder region	C1290859	disorder
Hypoalbuminemia	C0239981	disorder
Hypogammaglobulinemia	C0086438	finding
Ptosis of eyelid	C0005745	disorder
Mature cystic teratoma of ovary	C0237020	disorder
Burn of foot	C0274167	disorder
Adenoid excision	C0001425	procedure
Benign essential hypertension	C0155583	disorder
Paroxysmal tachycardia	C0039236	disorder
Rectal hemorrhage	C0267596	disorder
Closed fracture of multiple ribs	C0159626	disorder
Reconstruction procedure	C0524865	procedure
Hallux valgus	C0018536	disorder
Hammer toe	C1136179	disorder
Biopsy of breast	C0405352	procedure
Acute peptic ulcer with hemorrhage	C0267288	disorder
Oral examination	C0376306	procedure
Bronchiectasis	C0006267	disorder
Disorder of uterus	C0042131	disorder
Crowding of teeth	C0040433	disorder
Menopausal syndrome	C0025319	disorder
Immunoglobin G subclass deficiency	C0162539	finding
Lumbosacral spondylosis	C0730194	disorder
Renovascular hypertension	C0020545	disorder
Neoplasm of ovary	C0919267	disorder
Adenocarcinoma of endometrium	C1153706	disorder
Congenital anteversion of femur	C0265616	disorder
Increased lipid	C0851043	finding
Deficiency of glucose-6-phosphate dehydrogenase	C0017920	disorder
Epistaxis	C0014591	disorder
Cauda equina syndrome with neurogenic bladder	C0007459	disorder
Infectious gastroenteritis	C0277525	disorder
Dry eye	C0314719	finding
Injury of face	C0015459	disorder
Injury of shoulder region	C0149776	disorder
Injury of elbow	C0149674	disorder
Injury of forearm	C0016537	disorder
Injury of wrist	C0043264	disorder
Injury of hand	C0018571	disorder
Injury of knee	C0022744	disorder
Injury of lower leg	C0495958	disorder
Injury of ankle	C0085111	disorder
Injury of foot	C0149697	disorder
Fracture of bone	C0016658	disorder
Fracture of cervical spine	C0262414	disorder
Fracture of thoracic spine	C0347780	disorder
Fracture of lumbar spine	C0262544	disorder
Closed traumatic dislocation of glenohumeral joint	C0434579	disorder
Traumatic dislocation of joint of finger	C0159956	disorder
Open wound	C0332798	disorder
Open wound of forearm	C0160604	disorder
Open wound of wrist	C0432966	disorder
Open wound of hand	C0558407	disorder
Open wound of finger	C0555295	disorder
Open wound of foot	C0347573	disorder
Open wound of toe	C0562512	disorder
Crushing injury	C0332679	disorder
Burn	C0006434	disorder
Contusion	C0009938	disorder
Contusion of face	C0432750	disorder
Foreign body	C0016542	disorder
Noninfectious gastroenteritis	C0267418	disorder
Bone pain	C0151825	finding
Fracture of multiple ribs	C0272567	disorder
Urticaria	C0042109	disorder
Neoplasm of skin	C0037286	disorder
Neoplasm of pelvis	C0030793	disorder
Deviated nasal septum	C0549397	disorder
Red throat	C0455899	disorder
Fracture of radius	C0034628	disorder
Neoplasm of parotid gland	C0030581	disorder
Neoplasm of oropharynx	C0029295	disorder
Neoplasm of stomach	C0038356	disorder
Neoplasm of small intestine	C0345832	disorder
Neoplasm of rectum	C0034885	disorder
Neoplasm of liver	C0023903	disorder
Neoplasm of retroperitoneum	C0035358	disorder
Neoplasm of kidney	C0022665	disorder
Neoplasm of bladder	C0005695	disorder
Neoplasm of prostate	C0033578	disorder
Neoplasm of breast	C1458155	disorder
Separation anxiety	C0003477	disorder
Brain disorder resulting from a period of impaired oxygen delivery to the brain	C0752304	disorder
Excessive cerumen in ear canal	C1263878	disorder
Acoustic neuroma	C0027859	disorder
Neoplasm of brain	C0006118	disorder
Diabetic renal disease	C0011881	disorder
Diabetic peripheral angiopathy	C0011871	disorder
Neoplasm of thyroid gland	C0040136	disorder
Neoplasm of adrenal gland	C0001624	disorder
Neoplasm of pituitary gland	C0032019	disorder
Pancytopenia	C0030312	disorder
Erythrocytosis	C1527405	disorder
Cervical lymphadenopathy	C0235592	disorder
Retroperitoneal lymphadenopathy	C0748390	disorder
Axillary lymphadenopathy	C0578735	disorder
Inguinal lymphadenopathy	C0578736	disorder
Chronic myelomonocytic leukemia	C0023480	disorder
Injury of upper extremity	C0003794	disorder
Injury of lower extremity	C0023220	disorder
Intertrochanteric fracture	C0162385	disorder
Prolonged rupture of membranes	C0495246	disorder
Traumatic AND/OR non-traumatic brain injury	C1456496	disorder
Traumatic brain injury	C0876926	disorder
Intracranial injury	C0347535	disorder
Cervical sympathetic dystrophy	C0391959	disorder
Cyanotic congenital heart disease	C0265808	disorder
Tetanus vaccination	C0199807	procedure
Haemophilus influenzae type b vaccination	C0199818	procedure
Cellulitis	C0007642	disorder
Disorder of cervical spine	C1290145	disorder
Deep venous thrombosis	C0149871	disorder
Deep venous thrombosis of upper extremity	C0877618	disorder
Injury of abdomen	C0000733	disorder
Polyradiculoneuropathy	C0032587	disorder
Reflex sympathetic dystrophy	C0034931	disorder
von Willebrand disorder	C0042974	disorder
Vascular headache	C0042376	disorder
Cerebral palsy	C0007789	disorder
Lumbar radiculopathy	C1263855	disorder
Complex regional pain syndrome	C0458219	disorder
Disorder of sacrum	C0158292	disorder
Thoracic outlet syndrome	C0039984	disorder
Inflammatory disease of liver	C0019158	disorder
Cellulitis of foot	C0558382	disorder
Chronic duodenal ulcer	C0341240	disorder
Chronic peptic ulcer	C0700509	disorder
Chronic hepatitis C	C0524910	disorder
Bacterial conjunctivitis	C0009768	disorder
Eye infection	C0015403	disorder
Right heart failure	C0235527	disorder
Secondary malignant neoplastic disease	C0027627	disorder
Acute duodenal ulcer with hemorrhage	C0155992	disorder
Uveitis	C0042164	disorder
Parathyroid adenoma	C0262587	disorder
Abscess	C0000833	disorder
Hearing disorder	C0260662	disorder
Hernia of abdominal wall	C1442978	disorder
Intracranial aneurysm	C0007766	disorder
Seizure disorder	C0014544	disorder
Pneumococcal vaccination	C0419707	procedure
Fetal distress affecting management of mother	C0015931	disorder
Thymoma, type C	C1322286	morphologic abnormality
Gastrointestinal stromal sarcoma	C1266137	morphologic abnormality
Hypereosinophilic syndrome/chronic eosinophilic leukemia	C1540912	morphologic abnormality
Refractory anemia	C0002893	morphologic abnormality
Thymoma	C0040100	morphologic abnormality
Infestation by Sarcoptes scabiei var hominis	C0036262	disorder
Endometriosis	C0014175	disorder
Infectious disorder of kidney	C0021313	disorder
Hematologic neoplasm	C0376545	disorder
Piriformis syndrome	C0458224	disorder
Suprapubic cystostomy	C0087042	procedure
Bronchiolitis obliterans organizing pneumonia	C0242770	disorder
Disorder of skeletal AND/OR smooth muscle	C0026848	disorder
Adult failure to thrive syndrome	C1268580	disorder
Histoplasmosis	C0019655	disorder
Ovarian hyperstimulation syndrome	C0085083	disorder
Abnormal CT scan	C0436539	finding
Mammographic breast mass finding	C1268712	finding
Noncompliance with medication regimen	C0184541	finding
Noncompliance with therapeutic regimen	C0184543	finding
At risk for falls	C1268740	finding
Polypharmacy	C0184545	finding
Ineffective infant feeding pattern	C0178405	finding
Anisocoria	C0003079	disorder
Dilation and curettage	C0012358	procedure
Apnea in the newborn	C0232058	finding
Increased thyroid stimulating hormone level	C1295606	finding
Decreased testosterone level	C1295654	finding
Bleeding	C0019080	finding
Reduced visual acuity	C0234632	finding
Contraception	C0700589	finding
Peptic ulcer	C0030920	disorder
Congenital heart disease	C0152021	disorder
Congenital spondylolisthesis	C0038017	disorder
Cystic acne	C0010666	disorder
Aneurysm of iliac artery	C0162870	disorder
Cellulitis of knee	C0263162	disorder
Induratio penis plastica	C0030848	disorder
Plantar fascial fibromatosis	C0158360	disorder
Lithotripsy	C0023878	procedure
Postoperative care	C0032786	regime/therapy
Postpartum care	C0032782	regime/therapy
Prolactinoma	C0033375	disorder
Vocal cord dysfunction	C0859897	finding
Overanxious disorder of childhood	C0270307	disorder
Monofilament foot sensation test	C1277175	procedure
Diabetic retinopathy screening	C1277181	procedure
Chronic back pain	C0740418	finding
Routine antenatal care	C1276362	regime/therapy
Ménière's disease	C0025281	disorder
Nasal septoplasty	C0189055	procedure
Folliculitis	C0016436	disorder
Thyroidectomy	C0040145	procedure
Hypothermia of newborn	C0270256	disorder
Hypercholesterolemia	C0020443	disorder
Chronic obstructive lung disease	C0024117	disorder
Arthroscopy	C0003904	procedure
Bipolar disorder	C0005586	disorder
Hemifacial spasm	C0278152	finding
Paraphimosis	C0030483	disorder
Obsessive compulsive personality disorder	C0009595	disorder
Asthenia	C0004093	finding
Abscess of axilla	C0263115	disorder
Intracranial hemorrhage	C0151699	disorder
Combined anteroposterior colporrhaphy	C0195232	procedure
Hepatic encephalopathy	C0019151	disorder
Ischemic ulcer	C0263555	disorder
Grand mal status	C0311335	disorder
Chronic pharyngitis	C0155825	disorder
Excessive vomiting in pregnancy	C0020450	disorder
Hyperkalemia	C0020461	disorder
Lymphangitis	C0024225	disorder
Measles	C0025007	disorder
Amenorrhea	C0002453	finding
Disorder of thyroid gland	C0040128	disorder
Ruptured abdominal aortic aneurysm	C0265012	disorder
Ischemic optic neuropathy	C0155305	disorder
Exposure keratoconjunctivitis	C0339295	disorder
Swallowed foreign body	C0520753	disorder
Dermal mycosis	C0011630	disorder
Acute renal failure syndrome	C0022660	disorder
Administrative procedure	C0184665	procedure
Herpes labialis	C0019345	disorder
Constipation	C0009806	disorder
Tilt test	C0242880	procedure
Hyperbilirubinemia	C0020433	disorder
Chalazion	C0007933	disorder
Burn of hand	C0274089	disorder
Radiotherapy-induced hypopituitarism	C0342399	disorder
Old disruption of ligament of knee	C0263789	disorder
Urethral fistula	C0041970	disorder
Chondrosarcoma	C0008479	morphologic abnormality
Osteotomy	C0029468	procedure
Vitreous floaters	C0016242	disorder
Peritonsillar abscess	C0031157	disorder
Alcohol abuse	C0085762	disorder
Hearing loss	C1384666	disorder
Esophageal bleeding	C0239293	disorder
Disorder of autonomic nervous system	C1145628	disorder
Subclavian steal syndrome	C0038531	disorder
Viral pharyngitis	C0276143	disorder
Familial hypoalphalipoproteinemia	C1704429	disorder
Closed fracture of medial malleolus	C0435890	disorder
Acquired trigger finger	C0158328	disorder
Pulmonary tuberculosis	C0041327	disorder
Restrictive cardiomyopathy secondary to infiltrations	C0264839	disorder
Polyarteritis nodosa	C0031036	disorder
Open wound of wrist with tendon involvement	C0160614	disorder
Acute pericarditis	C0155679	disorder
Fracture of foot	C0272774	disorder
Gonorrhea	C0018081	disorder
Protein S deficiency disease	C0242666	disorder
Seborrheic dermatitis of scalp	C0221244	disorder
Moderate major depression, single episode	C0154404	disorder
Senile dementia	C0011268	disorder
Diabetes insipidus	C0011848	disorder
Dystonia	C0393593	disorder
Bladder pain	C0232849	finding
Acute sinusitis	C0149512	disorder
Gastric ulcer with hemorrhage	C0341164	disorder
Alveolar hypoventilation	C0398353	finding
Otalgia	C0013456	finding
Family history: neoplasm of ovary	C0586979	situation
Family history: Thyroid disorder	C0455366	situation
Family history: Diabetes mellitus	C1313937	situation
Family history: Osteoporosis	C1563292	situation
Family history: Blood disorder	C0455376	situation
Family history: Glaucoma	C0455397	situation
Family history: Hypertension	C0455405	situation
Family history: Asthma	C1261327	situation
Family history: Gastrointestinal disease	C0455420	situation
Family history: Breast disease	C0455425	situation
Family history: Diabetes in pregnancy	C0455434	situation
Female hypogonadism syndrome	C0271578	disorder
Family history: Atopy	C0455457	situation
Light cigarette smoker (1-9 cigs/day)	C0425295	finding
Stopped smoking	C0425310	finding
Current non-smoker	C0425311	finding
Relationship problems	C0425168	finding
Financial problem	C0549106	finding
Learning difficulties	C0424939	finding
Fracture of ankle	C0159877	disorder
School problem	C0580094	finding
History of - tuberculosis	C0455460	situation
History of - chickenpox	C0455469	situation
History of - malignant melanoma	C0457969	situation
History of - hypothyroidism	C0455486	situation
History of - diabetes mellitus	C0455488	situation
History of - raised blood lipids	C0455491	situation
History of - gout	C0455492	situation
Viral bronchitis	C0276141	disorder
History of - alcoholism	C0455500	situation
History of - schizophrenia	C0455502	situation
History of - depression	C0455503	situation
History of - Bell's palsy	C0455514	situation
History of - hypertension	C0455527	situation
History of - deep vein thrombosis	C0459853	situation
History of - transient ischemic attack	C0455536	situation
History of - pulmonary embolus	C0455537	situation
History of - pneumonia	C0455542	situation
History of - perinatal problem	C0455581	situation
History of - penicillin allergy	C0455590	situation
History of - food allergy	C0455607	situation
History of - lower limb amputation	C0455616	situation
History of - splenectomy	C0581077	situation
History of - kidney donation	C0455636	situation
History of renal transplant	C0455641	situation
History of - artificial eyeglobe	C0455650	situation
History of - artificial opening	C0455659	situation
History of - miscarriage	C0438080	situation
History of - premature delivery	C0438076	situation
History of - hysterectomy	C0438065	situation
History of - cesarean section	C0475172	situation
Vaginal irritation	C0558368	finding
Stiff neck	C0151315	finding
Backache	C0004604	finding
Falls	C0085639	finding
Indigestion	C0013395	finding
Abdominal wall pain	C0581869	finding
Suprapubic pain	C0241310	finding
Postmature infancy	C0021293	finding
Excessive upper gastrointestinal gas	C0426623	finding
Increased frequency of urination	C0042023	finding
Pain in female genitalia	C0423610	finding
Vulval pain	C0241718	finding
Suspected child abuse	C0581839	situation
General examination of patient	C0436117	procedure
Neuralgia	C0027796	disorder
Body mass index 25-29 - overweight	C0424672	finding
Body mass index 30+ - obesity	C0424671	finding
Splenomegaly	C0038002	disorder
Heartburn	C0018834	finding
Multiple pregnancy	C0032989	disorder
Chronic disease of tonsils AND/OR adenoids	C0155828	disorder
Dry skin	C0151908	finding
Sickle cell trait	C0037054	disorder
Mixed bipolar I disorder	C0236780	disorder
Exercise tolerance test	C0015260	procedure
Exercise tolerance test abnormal	C0149612	finding
Urinary incontinence	C0042024	finding
Microcytosis, red cells	C0221265	finding
Serum iron raised	C0151900	finding
Hartmann operation, rectal resection	C0400084	procedure
RhD negative	C0427630	finding
Closed fracture of acromial end of clavicle	C0435522	disorder
Rheumatoid factor positive	C0151379	finding
Anti-nuclear factor positive	C0151480	finding
Autoantibody titer positive	C0580382	finding
Esotropia	C0014877	disorder
Missed abortion	C0000814	disorder
Prostate specific antigen abnormal	C0580555	finding
Transverse myelopathy syndrome	C0026976	disorder
Blood chemistry abnormal	C0438258	finding
Radial neuropathy	C0748226	finding
C-reactive protein abnormal	C0580467	finding
Liver function tests abnormal	C0151766	finding
Liver enzymes abnormal	C0438237	finding
Lipids abnormal	C0549634	finding
Serum cholesterol borderline	C0428468	finding
Blood glucose abnormal	C0580546	finding
Renal function tests abnormal	C0236151	finding
Renal osteodystrophy	C0035086	disorder
Esophagitis	C0014868	disorder
Fecal occult blood: positive	C0266813	finding
Arthritis associated with another disorder	C0409961	disorder
Open wound of abdominal wall with complication	C0273333	disorder
Amniotic fluid -meconium stain	C0426209	finding
Pneumococcal infectious disease	C0032269	disorder
Mediastinal emphysema	C0025062	disorder
Radiology result abnormal	C0436485	finding
Mitochondrial myopathy	C0162670	disorder
Incomplete abortion	C0812470	disorder
Standard chest X-ray abnormal	C0436503	finding
Mammography normal	C0436449	finding
Mammography abnormal	C0262365	finding
Barium enema abnormal	C0436515	finding
Hysterosalpingogram	C0020709	procedure
Nuclear magnetic resonance abnormal	C0436540	finding
Hereditary coagulation factor deficiency	C0272316	disorder
Dating/booking US scan	C0412558	procedure
Echocardiogram abnormal	C0476369	finding
Ultrasound scan abnormal	C0581118	finding
Nausea and vomiting	C0027498	disorder
Mononucleosis syndrome	C0272210	disorder
Pregnant - planned	C0032992	finding
Insertion of intra-aortic balloon counterpulsation	C0190359	procedure
Antenatal ultrasound scan abnormal	C0420948	finding
Spontaneous rupture of membranes	C0233308	finding
Breast fed	C0006147	finding
Single live birth	C0481457	finding
Placenta incomplete	C0542485	disorder
Closed fracture of base of neck of femur	C0159814	disorder
Vaccination required	C0581024	finding
Prepatellar bursitis	C0851258	disorder
Counseling for bereavement	C0474162	procedure
Pre-pregnancy education	C0474171	procedure
Immunization education	C0543391	procedure
Tuberculosis screening	C0420004	procedure
Venereal disease screening	C0199231	procedure
Cervical neoplasia screening	C0420020	procedure
Diabetes mellitus screening	C0740213	procedure
Heart disease screening	C0420042	procedure
Hypertension screening	C0740221	procedure
Ischemic heart disease screening	C0740220	procedure
Urine screening abnormal	C0438142	finding
Not up-to-date with immunizations	C0421373	finding
Neonatal jaundice due to delayed conjugation	C0392543	disorder
Trichotillomania	C0040953	disorder
Excessive thirst	C1994994	finding
Agranulocytosis	C0001824	disorder
Enucleation of eyeball	C0015400	procedure
Closed fracture of distal end of radius	C0272644	disorder
Adjustment disorder	C0001546	disorder
Laser trabeculoplasty	C0395482	procedure
Yttrium-aluminum-garnet (YAG) laser capsulotomy of lens	C0579255	procedure
Lobectomy of lung	C0189497	procedure
Ureteric colic	C0232838	finding
Tonsillectomy	C0040423	procedure
Atrial arrhythmia	C0085611	disorder
Spontaneous abortion	C0000786	disorder
Roux-en-Y gastrojejunostomy	C0585179	procedure
Toxic effect of carbon monoxide	C1370867	disorder
Creation of ileostomy	C0020883	procedure
Ruptured ectopic pregnancy	C0392534	disorder
Myoclonus	C0027066	finding
Hypertrophy of nasal turbinates	C0155840	disorder
Total splenectomy	C0337385	procedure
Mechanical prosthetic aortic valve replacement	C0396982	procedure
Open ablation of atrioventricular node	C0397406	procedure
Percutaneous transluminal ablation of atrioventricular node	C0397405	procedure
Accident while engaged in work-related activity	C0586557	event
Old myocardial infarction	C0155668	disorder
Chronic diarrhea of unknown origin	C0267664	disorder
Dental calculus	C0011330	disorder
Amyloidosis	C0002726	disorder
Biliary cirrhosis	C0023892	disorder
Subtotal abdominal hysterectomy	C0195289	procedure
Bleeding esophageal varices	C0155789	disorder
Normal delivery procedure	C0269694	procedure
Abdominoplasty	C0198542	procedure
Acute tonsillitis	C0001361	disorder
Rheumatic aortic stenosis with regurgitation	C0155569	disorder
Renal tubular acidosis	C0001126	disorder
Burn of face AND/OR head	C0273940	disorder
Opening of chest	C0039991	procedure
Bilateral inguinal hernia repair	C0198737	procedure
Block dissection of cervical lymph nodes	C0398395	procedure
Respiratory condition of fetus OR newborn	C0270146	disorder
Removal of ureteral stent	C1278795	procedure
Sprain of hip	C0272889	disorder
Portal vein thrombosis	C0155773	disorder
Abnormal defecation	C0232698	finding
Fetus OR newborn affected by multiple pregnancy	C0411169	disorder
Amputation of the foot	C0188605	procedure
Transplantation of liver	C0023911	procedure
Senile osteoporosis	C0029459	disorder
Impacted cerumen	C0021092	disorder
Enteric campylobacteriosis	C0275982	disorder
Prenatal examination and care of mother	C0419589	procedure
Jaundice	C0022346	finding
Hypochondriasis	C0020604	disorder
Exophthalmos	C0015300	disorder
Anticoagulant therapy	C0150457	procedure
Pre-anesthetic assessment	C0474221	procedure
Dermatitis	C0011603	disorder
Acquired deformity of nose	C0028431	disorder
Review of medication	C0560023	procedure
Microcephalus	C0025958	disorder
Spinal stenosis of lumbar region	C0158288	disorder
Surgical follow-up	C0481523	finding
Postoperative visit	C0580703	finding
Chemotherapy follow-up	C0260835	procedure
Transplant follow-up	C0580702	finding
Total avulsion of nail plate	C1535576	procedure
Scarred macula	C0423428	disorder
Endophthalmitis	C0014236	disorder
Chronic obstructive bronchitis	C0155874	disorder
Disorder of appendix	C0267613	disorder
Telephone encounter	C0422284	procedure
Follow-up visit	C0589121	procedure
Congenital stenosis of aortic valve	C0152417	disorder
Developmental academic disorder	C1330966	disorder
Needs influenza immunization	C1313967	finding
Fluid volume disorder	C0267995	disorder
Enteritis due to rotavirus	C0347854	disorder
Infectious colitis, enteritis and gastroenteritis	C1279224	disorder
Tuberculosis of pleura	C0041326	disorder
Tuberculosis of lung, confirmed by sputum microscopy with or without culture	C0348809	disorder
Tuberculosis of lung, confirmed by culture only	C0348810	disorder
Septicemia due to Staphylococcus aureus	C0349006	disorder
Ethmoidal sinusitis	C0015029	disorder
Clostridium difficile infection	C0343386	disorder
Viral disease characterized by exanthem	C0153062	disorder
Alcohol intoxication delirium	C0236654	disorder
Acute gastric mucosal erosion	C0267112	disorder
Coxsackie virus disease	C0010246	disorder
Herpangina	C0019338	disorder
Epidemic vertigo	C0155508	disorder
Late latent syphilis	C1260915	disorder
Bypass gastroenterostomy	C0017164	procedure
Histoplasmosis with retinitis	C0153278	disorder
Late effects of respiratory tuberculosis	C0343413	disorder
Malignant tumor of nasopharynx	C0153392	disorder
Malignant tumor of thoracic part of esophagus	C0153411	disorder
Malignant tumor of middle third of esophagus	C0153414	disorder
Malignant tumor of lower third of esophagus	C0153415	disorder
Cyclical vomiting syndrome	C0152164	disorder
Malignant tumor of cardia	C0153417	disorder
Primary carcinoma of liver	C0019204	disorder
Malignant tumor of body of pancreas	C0153459	disorder
Malignant tumor of tail of pancreas	C0153460	disorder
Malignant tumor of pancreatic duct	C0153461	disorder
Malignant tumor of glottis	C0153483	disorder
Malignant tumor of supraglottis	C0153484	disorder
Malignant melanoma of upper arm	C0346795	disorder
Malignant neoplasm of central part of female breast	C0153549	disorder
Malignant neoplasm of upper-inner quadrant of female breast	C0153550	disorder
Malignant neoplasm of lower-inner quadrant of female breast	C0153551	disorder
Malignant neoplasm of upper-outer quadrant of female breast	C0153552	disorder
Malignant neoplasm of lower-outer quadrant of female breast	C0153553	disorder
Moderate recurrent major depression	C0154411	disorder
Malignant neoplasm of corpus uteri, excluding isthmus	C1279258	disorder
